word1,word2,human_similarity,model_similarity
precedent,law,6.65,4.674063958227634
minister,party,6.63,4.543474018573761
psychology,clinic,6.58,4.707749858498573
cup,coffee,6.58,4.611480422317982
water,seepage,6.56,4.19723778963089
government,crisis,6.56,5.037558360490948
space,world,6.53,4.840545225888491
dividend,calculation,6.48,3.930645063519478
victim,emergency,6.47,4.446170553565025
luxury,car,6.47,4.901559529826045
tool,implement,6.46,5.568038076162338
competition,price,6.44,5.04864864051342
psychology,doctor,6.42,4.9661281309090555
gender,equality,6.41,4.938608095981181
listing,category,6.38,4.330156818032265
video,archive,6.34,4.360028505325317
oil,stock,6.34,4.439907036721706
governor,office,6.34,4.5102860778570175
discovery,space,6.34,5.300311725586653
record,number,6.31,5.705925673246384
brother,monk,6.27,4.304100051522255
production,crew,6.25,5.006052186945453
nature,man,6.25,5.460926964879036
family,planning,6.25,4.906092509627342
disaster,area,6.25,5.234053898602724
food,preparation,6.22,5.7278114557266235
preservation,world,6.19,4.032483771443367
movie,popcorn,6.19,4.30087722837925
lover,quarrel,6.19,4.663799405097961
game,series,6.19,4.602883979678154
dollar,loss,6.09,4.699706919491291
weapon,secret,6.06,4.777612462639809
shower,flood,6.03,5.3154076263308525
registration,arrangement,6.0,5.121383657678962
arrival,hotel,6.0,4.660214185714722
announcement,warning,6.0,4.85512500628829
game,round,5.97,5.026830348651856
baseball,season,5.97,4.544235989451408
drink,mouth,5.96,5.07877953350544
life,lesson,5.94,5.15148906968534
grocery,money,5.94,4.220070987939835
energy,crisis,5.94,5.354751385748386
reason,criterion,5.91,6.178173720836639
equipment,maker,5.91,5.020526971202344
cup,liquid,5.9,4.915424892678857
deployment,withdrawal,5.88,4.818700440227985
tiger,zoo,5.87,4.883949710056186
journey,car,5.85,4.312565475702286
money,laundering,5.65,5.650608167052269
summer,nature,5.63,5.198048818856478
decoration,valor,5.63,4.984362706309184
Mars,scientist,5.63,5.388995856046677
alcohol,chemistry,5.54,5.533308684825897
disability,death,5.47,5.295707900077105
change,attitude,5.44,5.883496999740601
arrangement,accommodation,5.41,5.0225632125511765
territory,surface,5.34,6.3236866891384125
size,prominence,5.31,4.581145346164703
exhibit,memorabilia,5.31,4.626099094748497
credit,information,5.31,5.4197970405220985
territory,kilometer,5.28,5.353089421987534
death,row,5.25,4.644111767411232
doctor,liability,5.19,4.399865083396435
impartiality,interest,5.16,4.229566529393196
energy,laboratory,5.09,4.279230684041977
secretary,senate,5.06,4.2466602474451065
death,inmate,5.03,4.610193483531475
monk,oracle,5.0,5.232536308467388
cup,food,5.0,5.753695592284203
journal,association,4.97,4.978201142512262
street,children,4.94,4.553859159350395
car,flight,4.94,5.043425001204014
space,chemistry,4.88,4.5875100418925285
situation,conclusion,4.81,4.948210213333368
word,similarity,4.75,4.240116402506828
peace,plan,4.75,5.813823938369751
consumer,energy,4.75,5.692358836531639
ministry,culture,4.69,4.896114086732268
smart,student,4.62,5.022934477310628
investigation,effort,4.59,5.791799426078796
image,surface,4.56,4.685811176896095
life,term,4.5,4.959664177149534
start,match,4.47,4.91834762506187
computer,news,4.47,5.015463496092707
board,recommendation,4.47,4.672275446355343
lad,brother,4.46,4.3447332084178925
observation,architecture,4.38,5.568341948091984
coast,hill,4.38,5.052457279525697
deployment,departure,4.25,4.77175572887063
benchmark,index,4.25,4.258604347705841
attempt,peace,4.25,4.862209064885974
consumer,confidence,4.13,5.439513213932514
start,year,4.06,5.47302108258009
focus,life,4.06,5.016657628584653
development,issue,3.97,4.905352890491486
theater,history,3.91,4.323864132165909
situation,isolation,3.88,7.183176279067993
profit,warning,3.88,5.921500623226166
media,trading,3.88,4.191261306405067
chance,credibility,3.88,4.865940762683749
precedent,information,3.85,4.941273578442633
architecture,century,3.78,5.044794813729823
population,development,3.75,6.043203994631767
stock,live,3.73,5.431803539395332
peace,atmosphere,3.69,4.754194617271423
morality,marriage,3.69,5.231192260980606
minority,peace,3.69,5.781811699271202
atmosphere,landscape,3.69,4.37141939997673
report,gain,3.63,5.230800956487656
music,project,3.63,4.673581495881081
seven,series,3.56,5.759933739900589
experience,music,3.47,5.600804500281811
school,center,3.44,5.688817277550697
five,month,3.38,4.5178453996777534
announcement,production,3.38,4.571584351360798
morality,importance,3.31,3.8335496187210083
money,operation,3.31,5.331527106463909
delay,news,3.31,4.454474672675133
governor,interview,3.25,5.775688514113426
practice,institution,3.19,5.507262498140335
century,nation,3.16,4.459056630730629
coast,forest,3.15,5.333304889500141
shore,woodland,3.08,4.4184621423482895
drink,car,3.04,5.4146483913064
president,medal,3.0,4.442960694432259
prejudice,recognition,3.0,4.370356574654579
viewer,serial,2.97,4.897228488698602
peace,insurance,2.94,4.670355841517448
Mars,water,2.94,4.465327970683575
media,gain,2.88,4.64692696928978
precedent,cognition,2.81,5.325204096734524
announcement,effort,2.75,5.338125042617321
line,insurance,2.69,4.567384719848633
crane,implement,2.69,4.995736746350303
drink,mother,2.65,5.089983036741614
opera,industry,2.63,4.452953338623047
volunteer,motto,2.56,5.904780477285385
listing,proximity,2.56,5.4620590433478355
precedent,collection,2.5,5.579274669289589
cup,article,2.4,4.984064525924623
sign,recess,2.38,5.47856580466032
problem,airport,2.38,4.560789056122303
reason,hypertension,2.31,5.781598389148712
direction,combination,2.25,5.7693323493003845
Wednesday,news,2.22,5.333760268986225
glass,magician,2.08,4.3448808044195175
cemetery,woodland,2.08,4.727533962577581
possibility,girl,1.94,4.16215643286705
cup,substance,1.92,4.5700811222195625
forest,graveyard,1.85,4.307331517338753
stock,egg,1.81,5.197070483118296
month,hotel,1.81,4.694134835153818
energy,secretary,1.81,5.0521195493638515
precedent,group,1.77,5.617942065000534
production,hike,1.75,4.847678514197469
stock,phone,1.62,4.605211690068245
holy,sex,1.62,4.821172468364239
stock,CD,1.31,5.857893079519272
drink,ear,1.31,5.338402055203915
delay,racism,1.19,5.563019253313541
stock,life,0.92,3.865189850330353
stock,jaguar,0.92,4.542191214859486
monk,slave,0.92,4.484561420977116
lad,wizard,0.92,4.8919870518147945
sugar,approach,0.88,5.220293365418911
rooster,voyage,0.62,5.477514490485191
noon,string,0.54,4.61462639272213
chord,smile,0.54,4.861905090510845
professor,cucumber,0.31,5.2490706741809845
king,cabbage,0.23,4.985823163297027
